Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,ATLSHR,OCN1,OCN2,SKPJK1,SKPJK2,MRWN,MMTM,CVOW,onsh_WIND
1388,2,21,58,0.568769116,0.674879518,1,0.463449256,0.737421963,0.651857506,0.814614845,0.869194159,0.867547324,0.898219823,0.923044206,0.922661069,0.846018313,0.846018312,0.746595263,0.564056396,0.268599033,0.733644016
1389,2,22,58,0.555842708,0.628973886,1,0.581224711,0.887743962,0.664410404,0.998142886,0.875336841,0.899719818,0.920262929,0.913969875,0.836615562,0.776395144,0.776395143,0.73406565,0.580723285,0.232448459,0.778429595
1390,2,23,58,0.562198574,0.613834066,1,0.728743672,0.89112193,0.54780056,0.997281854,0.850972106,0.927400492,0.933546424,0.8360796,0.814561907,0.575000286,0.575000286,0.709030749,0.597731351,0.298071265,0.786331342
1391,2,24,58,0.560142026,0.680349874,1,0.736332927,0.905458934,0.407798788,1,0.799474012,0.901060274,0.923273981,0.758408069,0.552912295,0.587766647,0.587766647,0.734085683,0.714061019,0.523443938,0.773993865
1392,2,1,59,0.625382372,0.748862556,1,0.746299698,0.925543002,0.331150677,0.999246362,0.815688808,0.877552794,0.769191141,0.550200165,0.66078985,0.440086663,0.440086663,0.554977535,0.554058372,0.681392668,0.784789622
1393,2,2,59,0.668988421,0.786359102,1,0.742666741,0.926090258,0.340818562,1,0.797245191,0.890481548,0.393311233,0.273328125,0.564815343,0.090873473,0.090873473,0.299272448,0.311764122,0.516874909,0.79875445
1394,2,3,59,0.722257154,0.787275404,1,0.727265878,0.914285787,0.430981464,1,0.78674387,0.879755009,0.417462528,0.288116038,0.239811614,0.171682418,0.171682418,0.1942074,0.234109655,0.710160851,0.808995899
1395,2,4,59,0.780338075,0.794720109,1,0.691454944,0.911629065,0.510707426,0.997547272,0.708923603,0.877566793,0.267122745,0.172004402,0.086938828,0.281667531,0.281667531,0.179504246,0.227752089,0.593798699,0.817432643
1396,2,5,59,0.773200799,0.859845801,1,0.669313437,0.896991224,0.641849893,0.999972434,0.608316539,0.881772627,0.070518896,0.029275466,0.035610784,0.336592317,0.336592317,0.735998395,0.322840691,0.297334969,0.823652166
1397,2,6,59,0.810368938,0.923600425,0.993542866,0.648460093,0.887588392,0.671692732,0.999319879,0.593198473,0.868297458,0.039521586,0.025530018,0.018612774,0.480329156,0.480329156,0.808953942,0.739696025,0.337377667,0.83079969
