Time,Month,Hour,Day,PJM_AP,PJM_ATSI,PJM_COMD,PJM_Dom,PJM_EMAC,PJM_PENE,PJM_SMAC,PJM_WMAC,PJM_West,osw_zone1,osw_zone2,osw_zone3,osw_zone4,osw_zone5,onsh_WIND
1396,2,5,59,1277.347048,771.4680212,450.0439478,498.0029897,1334.573755,487.5972414,447.1604364,366.9645976,2110.543705,14994.80694,14994.7599,14994.82709,36.3519702,256.28139,7743.701743
1397,2,6,59,1338.749743,828.6697356,447.1379538,482.4870489,1320.583905,510.2680966,446.8686314,357.8446831,2078.290568,14994.79666,14994.7589,14994.82679,51.8755488,365.722619,7810.900366
1398,2,7,59,1385.916437,866.1849158,422.1705295,469.1176066,1329.543395,526.0937108,446.9343904,338.5825385,2059.781695,14994.8199,14994.75926,14994.77238,63.8415656,450.083038,7844.325218
1399,2,8,59,1371.542328,893.2624619,364.3403291,473.8366878,1324.772591,542.0808565,447.1028985,328.9117166,2061.348466,14994.76632,14994.75853,14994.76242,42.3672874,298.689376,7807.198335
1400,2,9,59,1355.47536,895.1415382,287.5887026,476.3425563,1301.308471,561.138448,447.0741295,248.1861623,1965.036075,14994.75928,14994.7608,14994.82314,31.0170178,218.669976,7537.291444
1401,2,10,59,1184.507411,888.9163291,157.3411707,451.0426115,1185.27198,484.2057262,441.0682186,88.74041279,1932.861726,14994.76168,14994.76163,14994.76764,1.7434872,12.2915848,6813.955585
1402,2,11,59,1000.211519,858.6754844,60.26375963,403.71625,1048.568691,328.8106022,340.6042451,50.78611152,1997.396912,14994.76221,14994.62746,14994.76165,0,0,6089.033575
1403,2,12,59,922.8105804,799.6237629,19.40958806,355.6133984,967.5614519,370.165656,299.0473028,52.55527688,1554.825534,14994.76191,14994.37883,14994.64654,0,0,5341.612551
1404,2,13,59,945.6208916,771.3368735,7.937184671,404.7368216,947.7023317,492.3962259,285.5500553,76.29944903,1617.189808,14994.76192,14994.0528,14994.17383,0,0,5548.769641
1405,2,14,59,860.2735868,778.0337701,17.77456227,471.2197796,942.2109992,535.413013,246.6605156,101.6758793,1557.183844,14994.76008,12763.65921,14994.2791,0,0,5510.445949
1406,2,15,59,871.2619326,749.3073409,26.09035455,448.6855246,907.9739704,556.1523731,255.1974182,132.7136868,1543.960346,14994.77748,12075.88935,14994.42639,6.4119733,45.2044117,5491.342947
1407,2,16,59,933.9416844,622.6093957,62.10770348,436.2488254,949.1032346,560.6271873,253.8940183,164.5709637,1467.582393,14994.76039,13082.83458,14994.76189,16.0836046,113.389412,5450.685406
1408,2,17,59,863.3807123,529.6639004,114.3071143,390.8120446,946.0532123,597.408181,259.8717234,244.6589768,1260.242166,14994.76254,14512.53763,14994.76196,33.3686156,235.24874,5206.398031
1409,2,18,59,1081.097943,717.8167539,147.7892753,448.0128085,1053.267065,621.3794485,315.8336416,485.7192909,997.2979739,14994.40872,13616.75906,14994.43976,68.8060258,485.082482,5868.2142
1410,2,19,59,1245.96278,676.2115914,214.9994605,459.9642338,1238.321657,593.173778,398.6466494,599.1134723,963.8450134,8615.443249,13179.81691,14994.09389,38.0224564,268.058317,6390.238636
1411,2,20,59,1344.462688,828.4922999,353.1050924,502.6850313,1340.088907,668.7919523,444.0574856,568.5179729,921.0267597,5259.87179,11068.14134,14528.52149,31.0895598,219.181397,6971.22819
1412,2,21,59,1457.444635,780.6825768,380.9553947,509.5512561,1373.522663,697.4577301,447.1727631,509.6576199,940.1516941,3439.771133,6771.474085,13403.88951,29.4547427,207.655936,7096.596332
1413,2,22,59,1360.113574,675.5662865,385.2869856,511.2635911,1363.763099,666.8135198,447.1727631,440.006065,1030.114564,1892.900054,3676.247557,13225.14489,10.1058442,71.2462014,6880.100448
1414,2,23,59,1234.795673,542.917703,384.7682578,495.9635269,1333.447979,696.2245387,445.1918014,365.6488116,1040.378278,1359.650395,2477.551892,12824.84416,4.25914409,30.0269659,6539.336569
1415,2,24,59,1065.246746,362.0347429,368.7345009,467.8743647,1341.958449,715.0912448,441.9193308,316.9458849,1168.485459,907.5643673,1607.352365,11352.05052,0.97415109,6.86776518,6248.290724
1416,3,1,60,839.3103762,142.0946764,347.1234047,503.6091712,1231.044115,581.6252834,378.902151,226.6725373,1145.270801,207.4671676,927.3514906,10831.14558,13.0711373,92.1515182,5395.652517
1417,3,2,60,486.6844897,41.07725276,381.1777303,459.4568314,1115.928968,467.3121809,260.8624436,111.6381658,1097.328453,686.7963727,2592.927972,10359.87884,73.0306787,514.866284,4421.466516
1418,3,3,60,306.2900848,19.60322455,449.5464292,473.7722442,874.603199,284.6074761,221.9003757,102.9616855,1125.298514,171.7312342,1693.427849,9888.612101,53.7002374,378.586673,3858.583233
1419,3,4,60,204.1714459,46.08392812,450.0439478,368.5044531,651.1806623,158.5009704,147.6766489,98.37479028,1384.61225,70.021377,1181.31795,14994.15892,90.2300607,636.121928,3509.149097
1420,3,5,60,131.1050054,62.38980124,401.3093436,341.8064628,409.8772183,47.17557316,81.75470766,85.80822752,1463.818381,70.021377,70.021377,14994.76197,76.0666518,536.269895,3025.044721
1421,3,6,60,99.71908031,169.1635804,450.0439478,226.8742594,304.2056578,6.99018405,66.56704716,66.17772975,1584.653259,390.0973204,818.3591943,14994.76209,74.9408767,528.333181,2974.394746
1422,3,7,60,111.6417165,285.7827354,450.0439478,169.9240077,225.7849232,32.7241653,61.13889056,88.15586974,1721.838656,70.021377,81.65880896,14994.18501,55.4283213,390.769665,3147.034912
1423,3,8,60,236.1609824,348.7984923,450.0439478,103.9863402,165.9995917,95.92799757,41.09867873,96.91249035,1705.18442,292.1497631,70.021377,8702.763326,42.1617251,297.240162,3244.112941
1424,3,9,60,447.2237887,435.6500038,450.0439478,48.93899431,191.9748862,231.387535,19.39857648,197.1690467,1869.371771,1874.627883,388.5061677,7928.496597,30.0047232,211.533299,3891.15855
1425,3,10,60,656.6014474,433.4210446,447.8880796,14.91259476,189.0109681,313.6402188,8.182747043,205.8718715,1844.972402,3633.927519,1431.634058,9300.082807,60.9371967,429.607237,4114.501374
1426,3,11,60,723.0773978,471.2498614,448.7206038,4.449976519,130.2452992,375.4505223,10.88909522,117.0958564,1674.37079,7994.904543,2630.523029,11762.39263,51.1864743,360.864644,3955.549402
1427,3,12,60,767.8761468,472.7305728,440.5849744,10.81579968,113.4036761,445.6962148,9.117741583,86.02066654,1596.134361,11800.50367,6635.035407,9917.229722,48.9268012,344.933948,3942.380154
1428,3,13,60,718.0061973,549.7738064,412.4029558,23.942575,127.2941033,514.3899116,14.50577893,93.26485833,1653.058918,14771.14679,6078.86814,14994.05575,49.7471194,350.717192,4106.639104
1429,3,14,60,793.7828712,544.76643,368.3554603,23.32117303,172.7319541,555.3700471,18.10191357,138.0858036,1650.454701,12511.58343,5409.043416,14994.48684,52.0276397,366.79486,4264.970354
1430,3,15,60,929.6010816,613.9153957,361.6440654,25.8093549,257.7190494,583.3241742,38.5291296,190.5888702,1741.879221,12450.31135,7152.403981,14994.06746,55.4958229,391.245551,4743.010342
1431,3,16,60,1139.95598,634.5346669,335.9229835,36.72289466,389.4461583,680.1875625,73.13028374,375.6341079,1881.90922,14462.07476,7465.003302,14994.1739,45.8489149,323.23485,5547.443857
1432,3,17,60,1198.780364,680.7838244,362.8260759,60.26198905,573.6076176,651.2674575,105.9027964,578.9661265,2090.117598,14994.17439,14994.02221,14994.44142,51.2890238,361.587617,6302.51385
1433,3,18,60,1028.045728,681.0558094,282.3337981,51.74996423,728.9062189,661.8592269,140.5668087,597.0541032,2197.674998,14994.76213,14994.50351,14994.7573,43.2777954,305.108458,6369.246655
1434,3,19,60,1330.538438,803.9302116,276.0991751,60.38268532,892.5695713,627.9849385,109.3715696,602.4372342,2385.419897,14994.76226,14994.76184,14994.76185,47.3162656,333.579672,7088.733721
1435,3,20,60,1430.585546,855.027383,199.8154284,65.47256756,837.4037034,643.4830477,122.170075,603.2461296,2393.523727,14994.43953,14994.45994,14994.76126,64.6285258,455.631107,7150.727608
1436,3,21,60,1357.1797,772.3448193,212.9390027,302.4088891,729.4501179,709.6762987,119.3591832,603.2461296,2355.027397,14994.17438,14994.17469,14994.76135,63.6286905,448.582268,7161.631537
1437,3,22,60,1369.155691,894.2298981,296.8151171,538.2486107,569.1207888,659.9505002,139.9667659,603.2461296,2327.476278,14994.04647,14994.23668,14994.76215,58.899868,415.244069,7398.20978
1438,3,23,60,1343.731893,897.2167109,349.6288484,657.4089211,594.5564195,591.8190865,217.601655,602.8620006,2126.275025,14283.37699,14994.07355,14994.76212,43.8173765,308.912504,7381.100561
1439,3,24,60,1423.076576,697.4231797,337.6873187,744.0504889,818.5519981,535.0062138,242.4120882,603.2396536,2092.478694,14994.17506,14994.11562,14994.5011,42.8442753,302.052141,7493.926211
1440,3,1,61,1415.507743,789.0102776,336.2980557,609.1794847,1009.313078,728.3162723,389.7934844,603.2461296,2033.943845,14994.76201,14994.21554,14994.48627,78.0109421,549.977141,7914.60837
1441,3,2,61,1330.623808,872.6948754,330.2496458,569.8499258,1154.056546,477.6362699,447.1727631,601.6552963,1973.833003,4828.635572,5186.137102,14994.47143,80.0599734,564.422812,7757.772133
1442,3,3,61,1245.94194,897.2167109,314.4426622,738.3087514,1225.89268,561.4741571,447.1727631,601.5837794,1889.883608,7253.751258,6794.026745,14994.4566,52.5541885,370.507029,7921.917052
1443,3,4,61,1140.365675,897.2167109,308.7214663,744.0504889,1173.183128,554.8731939,447.1727631,601.8137942,1880.390134,14994.81916,14994.175,14994.26039,51.2928378,361.614507,7747.787355
1444,3,5,61,975.1783372,897.2167109,241.863795,744.0504889,1433.90221,528.4250849,447.1727631,602.9110515,2076.785241,14994.75783,14994.75816,14994.17467,67.8916519,478.636146,7947.505683
1445,3,6,61,1008.146956,897.2167109,232.9598884,744.0504889,1320.556345,587.6675137,447.1727631,583.5816158,2133.5904,14994.8256,14994.80798,14994.50187,70.787144,499.049365,7954.942682
1446,3,7,61,1049.797541,897.2167109,157.0633611,743.5001879,1423.23782,628.4257398,315.9736053,602.2295023,2129.065359,14994.82702,14994.81477,12127.36635,69.6397979,490.960575,7946.509828
1447,3,8,61,1113.271401,897.2167109,102.8667481,593.9413126,1340.32174,647.203624,144.9961433,603.2461296,2099.038594,14994.82679,14994.82702,11484.41504,71.0061984,500.593699,7542.102403
1448,3,9,61,1132.474356,897.2167109,31.10087584,654.427504,1340.32174,750.1850428,129.8122327,603.2461296,2033.593687,14994.80756,14994.82694,10842.82003,54.6856756,385.534013,7572.378279
1449,3,10,61,1255.629829,897.2167109,12.66572785,599.0543456,1340.32174,759.6748817,427.4300757,603.2461296,1849.668921,14994.8109,14994.8211,14994.09426,58.9849563,415.843942,7744.908362
1450,3,11,61,1430.707994,897.2167109,0,739.1353688,1199.400003,759.6748817,447.1727631,603.2461296,1796.956479,14994.82697,14994.82436,14994.0269,52.5534611,370.501901,7873.510329
1451,3,12,61,1426.811676,897.2167109,0,663.4051262,1118.034221,759.6748817,348.8452928,603.2461296,1728.282912,14994.92327,14994.81424,14994.19534,49.8040316,351.118423,7545.51695
